2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,1,1,1,5,5,7,7,7,7,7,12,12,12,12,12,12,12,12,5,20,5,5,5,5,5,5,5,5,5,20,5,5,5,5,20,5,5,5,5,13,5,5,5,5,5,5,5,5,5,5,5,5,49,49,49,43,49,49,49,49,49,49,49,49,49,52,49,49,49,49,49,49,49,52,28,49,49,52,52,58,52,49,13,49,49,49,49,49,49,74,49,49,3,3,3,49,49,37
1,1,1,1,1,6,4,4,4,4,4,4,4,4,4,4,4,18,4,10,10,10,10,10,13,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,37,35,9,9,9,9,9,9,9,9,9,9,9,9,17,9,9,9,9,9,9,9,9,9,9,77,9,9,9,9,9,9,9,9,9,9
1,2,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,7,15,15,15,20,15,15,15,15,15,15,15,15,15,15,13,3,4,13,15,15,15,15,15,15,20,15,15,15,15,13,50,50,50,50,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,35,46,17,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,38,46,46,46,46,18,18,27,46,46
1,1,3,3,3,3,3,3,3,3,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,27,27,27,11,11,11,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,45,45,45,45,45,4,20,4,4,60,52,4,60,4,20,36,36,4,36,4,4,4,4,4,4,45,4,4,4,36,45,18,36,87,87,87,87,87,87,87,87,87,87,87,3,87
0,0,3,3,3,3,3,3,3,3,11,11,11,11,11,11,11,11,11,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,9,9,9,9,9,9,9,9,9,13,13,13,13,13,59,59,59,59,59,59,59,59,59,59,59,59,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,59,59,59,59,59,71,71,71,71
1,1,3,3,3,3,3,3,3,3,11,11,11,11,11,11,11,11,11,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,9,9,9,9,9,9,9,9,9,13,13,13,13,13,59,59,59,59,59,59,59,59,59,59,59,59,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,74,71,71,71,59,59,59,59,59,95,71,71,71
1,1,1,1,1,1,1,1,1,1,1,1,13,13,13,13,13,13,13,19,19,19,19,19,19,4,19,19,29,29,29,29,29,29,20,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,23,23,23,23,23,23,23,23,23,23,23,23,23,23,28,23,23,54,23,60,23,23,23,23,23,23,23,23,23,23,23,23,35,23,23,23,35,23,23,23,23,23,23,23,23,18
1,1,3,3,3,3,3,3,3,3,11,11,11,11,11,11,11,11,19,11,11,11,11,11,11,11,27,27,27,27,27,27,27,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,45,45,45,45,45,45,45,45,45,63,63,63,60,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,4,4,4,4,63,4,4,4,63,63,4,63,4
0,0,0,2,4,4,6,8,8,8,8,8,8,14,6,6,6,7,6,4,18,4,4,18,16,18,18,18,13,18,18,4,4,27,27,27,27,27,27,27,27,27,0,27,27,27,27,27,27,7,46,27,27,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,52,7,7,7,7,7,7,7,7,7
0,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,3,20,12,12,12,19,19,19,19,19,19,19,19,19,29,53,19,62,19,19,19,19,19,19,37,19,19,19,19,19,19,19,19,3,53,19,19,19,19,37,37,19,19,19,19,19,53,53,60,19,19
1,1,1,1,1,1,1,1,1,1,1,1,13,13,13,13,13,13,13,19,19,19,19,19,19,19,19,19,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,23,23,23,23,23,23,23,23,27,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,35,23,23,23,23,23,23,18,18,23,23,23,23,23,38,23,23,23,23
0,2,2,2,2,2,2,2,0,2,2,2,2,2,0,0,0,0,0,12,0,0,0,24,12,12,12,12,12,12,12,12,12,12,12,12,12,4,12,40,40,40,40,40,40,40,40,40,40,40,40,40,40,52,53,53,53,53,17,3,17,17,53,53,53,62,53,53,53,53,53,53,53,53,53,53,53,72,72,53,53,53,53,53,62,75,75,75,75,75,52,13,75,74,85,85,60,18,53
1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,7,15,15,15,15,15,15,15,15,15,15,15,15,15,15,13,15,4,13,15,15,15,15,15,15,20,15,15,15,15,13,50,50,50,50,46,46,46,46,38,46,46,46,46,46,46,46,46,46,46,17,46,46,37,46,46,46,46,46,46,46,62,72,46,46,17,46,37,46,46,46,46,46,35,18,40,46,46,13,93,74
1,2,2,2,2,2,2,1,1,1,1,1,13,13,13,13,13,13,13,19,19,19,19,19,19,19,19,19,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,13,29,29,2,2,2,2,27,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,1,1,1,1,6,4,4,4,10,10,10,10,10,10,10,10,10,4,10,10,10,10,10,10,10,10,10,10,10,10,10,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,10,41,41,41,41,41,41,41,41,41,41,37,35,41,41,41,41,9,38,41,41,41,17,9,9,17,9,9,9,9,9,9,9,9,9,9,77,9,9,9,9,9,9,9,9,9,9
1,1,1,1,1,6,4,4,4,4,4,4,4,4,4,4,4,18,4,10,10,10,10,10,13,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,37,35,9,9,9,9,9,9,9,9,65,9,9,9,17,9,9,9,9,9,9,9,9,9,9,77,9,9,9,9,9,9,9,9,9,9
1,1,3,1,1,1,5,5,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,27,27,27,27,27,27,27,34,34,34,34,34,34,34,34,4,34,34,34,34,34,34,34,34,34,34,34,20,20,20,20,20,29,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,7,15,15,15,15,15,15,15,15,15,15,15,15,15,15,13,15,4,13,15,15,36,15,15,15,20,15,15,15,15,13,50,50,50,50,46,46,46,46,38,46,46,46,46,62,46,46,46,46,46,17,46,46,37,46,46,46,46,46,46,46,62,72,46,46,17,46,37,46,46,46,46,46,35,18,40,46,46,13,93,74
1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,4,1,15,1,36,1,15,20,1,15,36,1,13,1,50,50,50,50,21,3,21,21,21,21,21,21,21,21,21,21,21,21,40,21,21,21,3,62,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,62,21,21,21,21,21,21,21,21,74,21
1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,15,15,15,15,15,15,15,15,15,15,15,15,15,15,13,15,4,15,15,15,36,15,15,20,20,15,15,15,13,15,50,50,50,50,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,93
0,0,0,0,0,6,4,4,4,4,4,4,4,4,4,4,8,18,8,4,10,10,13,10,13,10,10,10,10,10,13,3,3,10,10,10,10,10,39,39,39,42,42,42,42,42,42,42,42,42,42,42,42,48,48,48,48,48,35,52,48,48,48,48,65,65,65,3,65,65,34,35,65,65,65,65,65,65,65,65,65,65,40,48,13,52,65,65,65,65,65,65,65,65,65,65,97,97,72
0,0,0,0,0,6,4,4,4,4,4,4,4,4,4,4,8,18,8,4,10,21,13,10,13,10,10,10,10,10,10,3,3,3,10,10,10,10,10,10,10,42,42,42,42,42,42,42,42,42,42,42,42,48,48,48,48,48,48,52,48,48,48,48,65,65,65,65,65,65,65,35,65,65,65,65,65,65,65,65,65,65,48,48,48,48,65,65,65,65,65,65,65,65,65,65,65,65,72
0,0,0,0,4,4,4,8,8,8,8,8,8,8,8,8,8,8,8,4,4,22,22,22,22,22,22,22,22,20,22,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,22,22,22,22,22,47,47,47,47,47,47,47,47,47,47,47,47,47,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,27,67,67,67,67,67,67,67,67,67,67,67,67,67,91,47
0,0,0,0,0,6,4,8,8,8,8,8,8,8,8,8,8,8,8,4,4,4,4,22,22,22,22,22,22,22,22,3,3,22,22,22,22,22,22,22,22,42,42,42,42,42,42,42,22,22,22,22,22,47,47,47,47,47,47,47,47,47,47,47,47,47,67,67,67,67,47,35,47,67,67,67,67,67,67,67,67,67,67,67,67,67,67,40,67,67,67,67,67,67,67,67,67,67,72
0,0,0,0,0,6,4,8,8,8,8,8,8,8,8,8,8,8,8,4,4,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,47,47,47,47,47,47,47,47,47,47,47,47,47,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67
