Clustering_Method,Cluster,Sample_Count,Age_Mean,Age_Median,Age_Std,TB_Mean,TB_Median,TB_Std,DB_Mean,DB_Median,DB_Std,Alkphos_Mean,Alkphos_Median,Alkphos_Std,Sgpt_Mean,Sgpt_Median,Sgpt_Std,Sgot_Mean,Sgot_Median,Sgot_Std,TP_Mean,TP_Median,TP_Std,ALB_Mean,ALB_Median,ALB_Std,A/G Ratio_Mean,A/G Ratio_Median,A/G Ratio_Std,Label_Mean,Label_Median,Label_Std,Gender_Male_Proportion,Gender_Male_Count,Gender_Female_Proportion,Gender_Female_Count
Clusters_KProto_k5,4,9,31.77777777777778,34.0,9.78235372721946,9.322222222222223,4.1,8.906146441893062,4.177777777777778,2.0,3.8880514971440956,398.0,289.0,386.1032892892781,1131.0,950.0,356.4656364924956,1035.111111111111,960.0,315.6467346751921,5.911111111111111,5.6,0.9545214042184235,2.9555555555555553,2.8,0.6207074816512024,1.0,1.1,0.29580398915498085,1.0,1.0,0.0,0.8888888888888888,8.0,0.1111111111111111,1.0
Clusters_GMM_k2,0,477,45.471698113207545,46.0,16.478842299716476,2.8714884696016774,0.9,6.108939627139807,1.269182389937107,0.3,2.694312786024097,277.56184486373166,198.0,243.06062902383692,35.742138364779876,30.0,20.792556997883324,49.744234800838576,34.0,48.04529543171967,6.451991614255765,6.5,1.0882977687852606,3.1264150943396225,3.1,0.8131368477796713,0.9533962264150943,0.96,0.3336993379331021,1.329140461215933,1.0,0.4703944071695852,0.7421383647798742,354.0,0.2578616352201258,123.0
Clusters_GMM_k2,1,102,41.55882352941177,40.0,14.60813114782025,5.391176470588235,2.7,6.386869310727453,2.546078431372549,1.3,3.134972691422659,355.921568627451,290.0,236.53884977098454,293.3627450980392,153.0,367.12079618889743,394.1372549019608,201.0,609.2856235572755,6.620588235294117,6.8,1.0616014649364756,3.1950980392156865,3.2,0.7012545266058724,0.917450980392157,0.9,0.24215896208858634,1.0784313725490196,1.0,0.27017685846053213,0.8333333333333334,85.0,0.16666666666666666,17.0
Clusters_GMM_k4,0,393,44.409669211195926,45.0,17.12059888753459,1.1330788804071246,0.8,0.6923598630672481,0.3938931297709924,0.2,0.3812082814626943,212.86005089058523,194.0,78.01029011792686,33.14758269720102,28.0,17.553085678758087,40.00763358778626,31.0,27.464772292700506,6.525190839694655,6.6,1.1006266891618914,3.2676844783715016,3.2,0.7874001278998041,0.9943765903307888,1.0,0.27745229533251886,1.3842239185750635,1.0,0.48703127203152613,0.732824427480916,288.0,0.26717557251908397,105.0
Clusters_GMM_k4,1,175,46.24,46.0,13.951871295409738,7.808000000000001,4.4,9.503359599539571,3.776571428571429,2.3,4.093697105726296,458.0628571428571,310.0,360.7399030263605,117.23428571428572,75.0,111.3329219386124,177.2342857142857,105.0,182.29686213473553,6.414857142857143,6.5,1.051822095629227,2.861142857142857,2.9,0.7496197174927156,0.8386285714285715,0.8,0.3780870700147193,1.08,1.0,0.2720716606075449,0.8057142857142857,141.0,0.19428571428571428,34.0
Clusters_GMM_k4,2,5,34.0,32.0,3.4641016151377544,10.78,12.7,7.012631460443362,4.9399999999999995,6.2,3.2307893772265626,248.4,240.0,41.31343607108951,1582.0,1630.0,296.0912021658192,1481.2,1050.0,868.2955717956876,5.76,5.6,0.8619744775803979,3.0999999999999996,2.8,0.565685424949238,1.1400000000000001,1.2,0.1816590212458495,1.0,1.0,0.0,1.0,5.0,,
Clusters_GMM_k4,3,6,35.666666666666664,34.0,18.832595855767376,9.0,4.1,9.401276509070456,4.116666666666666,2.0,4.058776498732921,607.3333333333334,319.5,521.4432535441097,919.8333333333334,875.0,173.56891042656997,1630.8333333333333,947.0,1641.3954327542974,6.183333333333334,6.4,0.9988326519826365,2.8000000000000003,2.7,0.6292853089020909,0.8500000000000001,0.9,0.3674234614174768,1.0,1.0,0.0,0.8333333333333334,5.0,0.16666666666666666,1.0
Clusters_GMM_k7,0,328,44.451219512195124,45.0,16.756870836190753,0.9615853658536585,0.8,0.42244365424092767,0.30243902439024395,0.2,0.23797083559706203,198.7469512195122,189.0,55.35236022723368,29.570121951219512,27.0,12.483430877297428,33.46646341463415,29.0,17.653965005648896,6.539024390243903,6.7,1.1303439002076447,3.3329268292682928,3.4,0.7860488235723383,1.0277743902439023,1.0,0.2691410922506137,1.420731707317073,1.0,0.4944308326633844,0.7073170731707317,232.0,0.2926829268292683,96.0
Clusters_GMM_k7,1,181,45.21546961325967,45.0,16.131851978321038,3.2220994475138123,2.4,2.6673661605598302,1.525966850828729,1.2,1.3909388432140697,367.6629834254144,298.0,207.1836871794494,102.26519337016575,70.0,101.44777722547782,147.58563535911603,88.0,172.17219937305555,6.45193370165746,6.5,0.979205526049959,2.9458563535911604,3.0,0.7602974281497172,0.8252486187845304,0.8,0.2575020368005173,1.1215469613259668,1.0,0.32766825068139277,0.8342541436464088,151.0,0.16574585635359115,30.0
Clusters_GMM_k7,2,4,34.5,33.0,3.7859388972001824,10.3,11.05,8.002083062136592,4.625,5.0,3.6408561264259447,262.0,260.0,32.29034943549956,1477.5,1490.0,209.98015779274638,1115.0,1005.0,333.5166162777101,5.775,5.5,0.9945685831890462,3.05,2.8,0.6403124237432849,1.1,1.1,0.18257418583505536,1.0,1.0,0.0,1.0,4.0,,
Clusters_GMM_k7,3,5,29.6,34.0,12.934450123604018,8.54,4.1,10.435180880080612,3.8200000000000003,2.0,4.464526850630423,506.8,289.0,513.8839363124713,853.8,875.0,70.38962991804972,971.2,844.0,323.0366852232111,6.0200000000000005,6.1,1.0232301793829186,2.88,2.7,0.6685805860178711,0.9200000000000002,1.1,0.363318042491699,1.0,1.0,0.0,0.8,4.0,0.2,1.0
Clusters_GMM_k7,4,59,47.13559322033898,46.0,13.22153106465913,15.476271186440679,15.6,12.746268405694961,7.462711864406779,8.4,4.958027218390908,543.7118644067797,315.0,524.5851908346401,90.40677966101696,58.0,97.2988851770255,153.3728813559322,113.0,135.75039192235096,6.345762711864406,6.2,1.1459557122540518,2.686440677966101,2.6,0.6374674101524163,0.865593220338983,0.7,0.543780734165707,1.0847457627118644,1.0,0.2808936228404367,0.7796610169491526,46.0,0.22033898305084745,13.0
Clusters_GMM_k7,5,1,32.0,32.0,,12.7,12.7,,6.2,6.2,,194.0,194.0,,2000.0,2000.0,,2946.0,2946.0,,5.7,5.7,,3.3,3.3,,1.3,1.3,,1.0,1.0,,1.0,1.0,,
Clusters_GMM_k7,6,1,66.0,66.0,,11.3,11.3,,5.6,5.6,,1110.0,1110.0,,1250.0,1250.0,,4929.0,4929.0,,7.0,7.0,,2.4,2.4,,0.5,0.5,,1.0,1.0,,1.0,1.0,,
